hp_id,name,player_position,height_inches
1,Paul Byron,Forward,68
2,Phillip Danault,Forward,72
3,Max Domi,Forward,70
4,Jonathan Drouin,Forward,71
5,Jake Evans,Forward,73
6,Nick Suzuki,Forward,71
7,Jordan Weal,Forward,69
8,Charles Hudon,Forward,70
9,Artturi Lehkonen,Forward,72
10,Tomas Tatar,Forward,71
11,Joel Armia,Forward,75
12,Brendan Gallagher,Forward,69
13,Dale Weise,Forward,74
14,Karl Alzner,Defence,75
15,Ben Chiaro,Defence,75
16,Christian Folin,Defence,75
17,Brett Kulak,Defence,74
18,Victor Mete,Defence,69
19,Xavier Ouellet,Defence,73
20,Jeff Petry,Defence,75
21,Shea Weber,Defence,76
22,Charlie Lindgren,Goalie,73
23,Carey Price,Goalie,75
24,Frederik Gauthier,Forward,77
25,Zach Hyman,Forward,73
26,Alexander Kerfoot,Forward,70
27,Denis Malgin,Forward,69
28,Mitch Marner,Forward,72
29,Auston Matthews,Forward,74
30,Jason Spezza,Forward,75
31,John Tavares,Forward,73
32,Kyle Clifford,Forward,74
33,Pierre Engvall,Forward,77
34,Andreas Johnsson,Forward,70
35,Kasperi Kapanen,Forward,73
36,Ilya Mikheyev,Forward,75
37,William Nylander,Forward,72
38,Tyson Barrie,Defence,70
39,Cody Ceci,Defence,75
40,Travis Dermott,Defence,72
41,Justin Hol,Defence,75
42,Martin Marincin,Defence,76
43,Jake Muzzi,Defence,75
44,Morgan Rielly,Defence,73
45,Calle Rosen,Defence,73
46,Rasmus Sandin,Defence,71
47,Frederik Andersen,Goalie,76
48,Jack Campbell,Goalie,75
51,Drake Caggiula,Forward,70
52,Ryan Carpenter,Forward,72
53,Kirby Dach,Forward,76
54,Matthew Highmore,Forward,71
55,David Kampf,Forward,74
56,Andrew Shaw,Forward,71
57,Zack Smith,Forward,74
58,Dylan Strome,Forward,75
59,Jonathan Toews,Forward,74
60,Brandon Hagel,Defence,71
61,Dominik Kubali,Defence,74
62,Alex Nylander,Defence,73
63,Brandon Saad,Defence,73
64,Alex DeBrincat,Defence,67
65,Patrick Kane,Defence,70
66,Nicolas Beaudin,Defence,71
67,Adam Boqvist,Defence,71
68,Lucas Carlsson,Defence,72
69,Duncan Keit,Defence,73
70,Slater Koekkoek,Defence,74
71,Olli Maatt,Defence,74
72,Connor Murph,Defence,76
73,Brent Seabroo,Defence,75
74,Nick Seeler,Defence,74
75,Calvin de Haan,Defence,73
76,Corey Crawford,Goalie,74
77,Malcolm Subban,Goalie,74
79,Patrice Bergeron,Forward,73
80,Anders Bjork,Forward,72
81,Anton Blidh,Forward,72
82,Brandon Carlo,Defence,77
83,Zdeno Chara,Defence,81
84,Connor Clifton,Defence,71
85,Charlie Coyle,Forward,75
86,Jake DeBrusk,Forward,72
87,Matt Grzelcyk,Defence,69
88,Jaroslav Halak,Goalie,71
89,Ondrej Kase,Forward,71
90,David Krejci,Forward,72
91,Torey Krug,Defence,69
92,Sean Kuraly,Forward,74
93,Jeremy Lauzon,Defence,71
94,Par Lindholm,Forward,72
95,Brad Marchand,Forward,69
96,Charlie McAvoy,Defence,72
97,John Moore,Defence,74
98,Joakim Nordstrom,Forward,73
99,David Pastrnak,Forward,72
100,Tuukka Rask,Goalie,75
101,Nick Ritchie,Forward,74
102,Chris Wagner,Forward,72
104,Pavel Buchnevich,Forward,75
105,Filip Chytil,Forward,74
106,Anthony DeAngelo,Defence,71
107,Phillip Di Giuseppe,Forward,72
108,Jesper Fast,Forward,73
109,Steven Fogarty,Forward,75
110,Adam Fox,Defence,70
111,Julien Gauthier,Forward,76
112,Alexandar Georgiev,Goalie,73
113,Brett Howden,Forward,75
114,Kaapo Kakko,Forward,73
115,Chris Kreider,Forward,75
116,Brendan Lemieux,Forward,73
117,Ryan Lindgren,Defence,72
118,Henrik Lundqvist,Goalie,73
119,Greg McKegg,Forward,72
120,Artemi Panarin,Forward,71
121,Igor Shesterkin,Goalie,74
122,Brendan Smith,Defence,74
123,Marc Staal,Defence,76
124,Ryan Strome,Forward,73
125,Jacob Trouba,Defence,75
126,Mika Zibanejad,Forward,74
129,Justin Abdelkader,Forward,74
130,Jonathan Bernier,Goalie,72
131,Tyler Bertuzzi,Forward,73
132,Alex Biega,Defence,70
133,Madison Bowey,Defence,74
134,Trevor Daley,Defence,71
135,Christoffer Ehn,Forward,75
136,Jonathan Ericsson,Defence,76
137,Adam Erne,Forward,73
138,Robby Fabbri,Forward,70
139,Valtteri Filppula,Forward,72
140,Sam Gagner,Forward,71
141,Luke Glendening,Forward,71
142,Cody Goloubef,Defence,73
143,Darren Helm,Forward,72
144,Jimmy Howard,Goalie,73
145,Filip Hronek,Defence,72
146,Dylan Larkin,Forward,73
147,Gustav Lindstrom,Defence,74
148,Anthony Mantha,Forward,77
149,Patrik Nemeth,Defence,75
150,Frans Nielsen,Forward,73
151,Brendan Perlini,Forward,75
152,Dmytro Timashov,Forward,70
